2026-01-25 09:34:33, Epoch 153, LR 0.000010, Acc 99.99, LOSS 0.036729, EER 27.3429, minDCF 0.981, Train Time 110.76s, Eval Time 80.65s
2026-01-25 09:37:45, Epoch 154, LR 0.000010, Acc 99.99, LOSS 0.035395, EER 27.1429, minDCF 0.985, Train Time 111.20s, Eval Time 80.65s
2026-01-25 09:40:57, Epoch 155, LR 0.000010, Acc 99.99, LOSS 0.036180, EER 27.6000, minDCF 0.984, Train Time 111.16s, Eval Time 80.66s
2026-01-25 09:44:10, Epoch 156, LR 0.000010, Acc 99.99, LOSS 0.036875, EER 27.4000, minDCF 0.984, Train Time 111.58s, Eval Time 81.48s
2026-01-25 09:47:21, Epoch 157, LR 0.000010, Acc 99.98, LOSS 0.036112, EER 27.4286, minDCF 0.986, Train Time 110.86s, Eval Time 79.96s
2026-01-25 09:50:32, Epoch 158, LR 0.000010, Acc 99.97, LOSS 0.035603, EER 28.2571, minDCF 0.982, Train Time 110.99s, Eval Time 80.16s
2026-01-25 09:53:45, Epoch 159, LR 0.000010, Acc 99.98, LOSS 0.036922, EER 27.2571, minDCF 0.979, Train Time 110.99s, Eval Time 82.19s
2026-01-25 09:56:56, Epoch 160, LR 0.000010, Acc 99.97, LOSS 0.035141, EER 27.6000, minDCF 0.979, Train Time 110.71s, Eval Time 80.08s
2026-01-25 10:00:11, Epoch 161, LR 0.000010, Acc 99.98, LOSS 0.035370, EER 27.1714, minDCF 0.978, Train Time 110.68s, Eval Time 84.64s
2026-01-25 10:03:23, Epoch 162, LR 0.000010, Acc 99.99, LOSS 0.035172, EER 28.0571, minDCF 0.977, Train Time 110.71s, Eval Time 80.74s
2026-01-25 10:06:35, Epoch 163, LR 0.000010, Acc 99.98, LOSS 0.035403, EER 27.7714, minDCF 0.986, Train Time 110.85s, Eval Time 81.19s
2026-01-25 10:09:46, Epoch 164, LR 0.000010, Acc 99.98, LOSS 0.034586, EER 27.4286, minDCF 0.986, Train Time 110.72s, Eval Time 80.10s
2026-01-25 10:12:57, Epoch 165, LR 0.000010, Acc 99.98, LOSS 0.034843, EER 27.4571, minDCF 0.985, Train Time 110.93s, Eval Time 79.78s
2026-01-25 10:16:08, Epoch 166, LR 0.000010, Acc 99.99, LOSS 0.034319, EER 27.4571, minDCF 0.987, Train Time 111.22s, Eval Time 80.74s
