2026-01-25 04:52:10, Epoch 116, LR 0.000010, Acc 99.90, LOSS 0.053412, EER 22.7143, minDCF 0.896, Train Time 40.69s, Eval Time 79.35s
2026-01-25 04:54:26, Epoch 117, LR 0.000010, Acc 99.97, LOSS 0.051974, EER 22.4000, minDCF 0.895, Train Time 40.45s, Eval Time 95.60s
2026-01-25 04:56:25, Epoch 118, LR 0.000010, Acc 99.97, LOSS 0.050625, EER 22.3429, minDCF 0.895, Train Time 40.48s, Eval Time 78.16s
2026-01-25 04:58:29, Epoch 119, LR 0.000010, Acc 99.97, LOSS 0.049662, EER 22.2286, minDCF 0.891, Train Time 40.28s, Eval Time 83.67s
2026-01-25 05:00:29, Epoch 120, LR 0.000010, Acc 99.94, LOSS 0.050693, EER 22.6857, minDCF 0.907, Train Time 40.59s, Eval Time 79.47s
2026-01-25 05:02:28, Epoch 121, LR 0.000010, Acc 99.99, LOSS 0.051575, EER 21.7714, minDCF 0.887, Train Time 40.56s, Eval Time 78.83s
2026-01-25 05:04:26, Epoch 122, LR 0.000010, Acc 99.91, LOSS 0.053221, EER 22.5143, minDCF 0.892, Train Time 40.42s, Eval Time 77.24s
2026-01-25 05:06:22, Epoch 123, LR 0.000010, Acc 99.88, LOSS 0.052534, EER 22.5143, minDCF 0.902, Train Time 40.86s, Eval Time 75.49s
2026-01-25 05:08:17, Epoch 124, LR 0.000010, Acc 99.91, LOSS 0.052685, EER 22.4286, minDCF 0.901, Train Time 40.25s, Eval Time 74.32s
2026-01-25 05:10:12, Epoch 125, LR 0.000010, Acc 99.93, LOSS 0.051661, EER 21.8571, minDCF 0.899, Train Time 40.37s, Eval Time 74.66s
2026-01-25 05:12:07, Epoch 126, LR 0.000010, Acc 99.97, LOSS 0.050341, EER 22.0857, minDCF 0.900, Train Time 40.58s, Eval Time 74.37s
2026-01-25 05:14:01, Epoch 127, LR 0.000010, Acc 99.96, LOSS 0.048624, EER 22.1143, minDCF 0.886, Train Time 40.29s, Eval Time 73.96s
2026-01-25 05:15:56, Epoch 128, LR 0.000010, Acc 99.91, LOSS 0.050594, EER 22.4571, minDCF 0.877, Train Time 40.36s, Eval Time 74.27s
2026-01-25 05:17:50, Epoch 129, LR 0.000010, Acc 99.96, LOSS 0.048794, EER 22.0000, minDCF 0.885, Train Time 40.38s, Eval Time 74.17s
2026-01-25 05:19:44, Epoch 130, LR 0.000010, Acc 99.99, LOSS 0.047253, EER 21.9429, minDCF 0.887, Train Time 40.21s, Eval Time 73.56s
2026-01-25 05:21:38, Epoch 131, LR 0.000010, Acc 99.84, LOSS 0.049810, EER 22.8000, minDCF 0.891, Train Time 40.32s, Eval Time 74.17s
2026-01-25 05:23:38, Epoch 132, LR 0.000010, Acc 99.93, LOSS 0.050570, EER 22.4571, minDCF 0.895, Train Time 40.68s, Eval Time 78.96s
2026-01-25 05:25:37, Epoch 133, LR 0.000010, Acc 99.97, LOSS 0.047904, EER 22.4571, minDCF 0.890, Train Time 40.32s, Eval Time 78.34s
2026-01-25 05:27:31, Epoch 134, LR 0.000010, Acc 99.91, LOSS 0.048296, EER 22.5429, minDCF 0.891, Train Time 40.63s, Eval Time 74.06s
2026-01-25 05:29:27, Epoch 135, LR 0.000010, Acc 99.96, LOSS 0.048485, EER 22.2286, minDCF 0.886, Train Time 40.46s, Eval Time 75.57s
2026-01-25 05:31:28, Epoch 136, LR 0.000010, Acc 99.96, LOSS 0.046317, EER 22.0000, minDCF 0.889, Train Time 40.51s, Eval Time 80.04s
2026-01-25 05:33:24, Epoch 137, LR 0.000010, Acc 99.97, LOSS 0.045095, EER 22.1429, minDCF 0.901, Train Time 40.67s, Eval Time 75.58s
2026-01-25 05:35:19, Epoch 138, LR 0.000010, Acc 99.93, LOSS 0.046759, EER 22.8857, minDCF 0.881, Train Time 40.43s, Eval Time 74.28s
2026-01-25 05:37:13, Epoch 139, LR 0.000010, Acc 99.94, LOSS 0.048595, EER 21.9143, minDCF 0.879, Train Time 40.40s, Eval Time 73.85s
2026-01-25 05:39:10, Epoch 140, LR 0.000010, Acc 99.99, LOSS 0.046305, EER 22.0000, minDCF 0.876, Train Time 40.90s, Eval Time 76.08s
2026-01-25 05:41:05, Epoch 141, LR 0.000010, Acc 99.91, LOSS 0.047984, EER 21.9429, minDCF 0.885, Train Time 40.52s, Eval Time 74.43s
2026-01-25 05:43:00, Epoch 142, LR 0.000010, Acc 99.91, LOSS 0.045775, EER 21.5143, minDCF 0.876, Train Time 40.37s, Eval Time 74.77s
2026-01-25 05:44:56, Epoch 143, LR 0.000010, Acc 99.96, LOSS 0.046057, EER 21.9143, minDCF 0.879, Train Time 40.39s, Eval Time 75.04s
2026-01-25 05:46:51, Epoch 144, LR 0.000010, Acc 99.99, LOSS 0.045532, EER 22.2571, minDCF 0.888, Train Time 40.22s, Eval Time 74.49s
2026-01-25 05:48:46, Epoch 145, LR 0.000010, Acc 99.91, LOSS 0.046761, EER 21.9429, minDCF 0.900, Train Time 40.16s, Eval Time 75.33s
2026-01-25 05:50:42, Epoch 146, LR 0.000010, Acc 99.94, LOSS 0.046876, EER 21.8000, minDCF 0.883, Train Time 40.19s, Eval Time 75.64s
2026-01-25 05:52:38, Epoch 147, LR 0.000010, Acc 100.00, LOSS 0.045441, EER 22.0286, minDCF 0.894, Train Time 40.72s, Eval Time 75.43s
2026-01-25 05:55:00, Epoch 148, LR 0.000010, Acc 99.96, LOSS 0.045780, EER 21.8571, minDCF 0.889, Train Time 40.32s, Eval Time 101.23s
2026-01-25 05:56:57, Epoch 149, LR 0.000010, Acc 99.87, LOSS 0.048012, EER 21.7143, minDCF 0.890, Train Time 40.63s, Eval Time 76.21s
2026-01-25 05:59:02, Epoch 150, LR 0.000010, Acc 99.94, LOSS 0.043635, EER 22.1143, minDCF 0.882, Train Time 40.81s, Eval Time 84.60s
2026-01-25 06:00:56, Epoch 151, LR 0.000010, Acc 99.96, LOSS 0.044130, EER 22.5429, minDCF 0.893, Train Time 40.70s, Eval Time 73.10s
2026-01-25 06:02:51, Epoch 152, LR 0.000010, Acc 99.97, LOSS 0.045024, EER 22.5429, minDCF 0.888, Train Time 40.45s, Eval Time 74.92s
2026-01-25 06:04:47, Epoch 153, LR 0.000010, Acc 99.97, LOSS 0.042822, EER 21.9143, minDCF 0.895, Train Time 40.57s, Eval Time 75.41s
